wavenumber_cm-1,transmittance_fraction,absorbance
1752.9691211401425,0.822429906542056,0.08490110553504103
1749.16864608076,0.7959501557632399,0.09911412793414053
1745.3681710213777,0.7725856697819314,0.11205335157865583
1741.5676959619952,0.7601246105919003,0.11911520606614268
1737.7672209026127,0.7414330218068536,0.12992807534836015
1733.9667458432305,0.705607476635514,0.15143682605602138
1730.166270783848,0.6448598130841121,0.19053468694795436
1726.3657957244654,0.5638629283489096,0.2488264575356876
1722.5653206650832,0.4750778816199377,0.3232351887220674
1718.7648456057007,0.3940809968847352,0.4044145068930354
1714.9643705463182,0.32710280373831774,0.48531573333493405
1711.1638954869359,0.2616822429906542,0.5822257463429905
1707.3634204275534,0.18691588785046728,0.7283537820212285
1703.562945368171,0.12461059190031153,0.9044450410769097
1699.7624703087886,0.1043613707165109,0.9814602253680268
1695.9619952494063,0.09034267912772585,1.044107034505916
1692.1615201900238,0.06853582554517133,1.164082351582666
1688.3610451306413,0.06230529595015576,1.2054750367408908
1684.560570071259,0.08878504672897196,1.051660172396362
1680.7600950118765,0.1526479750778816,0.8163089523763585
1676.959619952494,0.24299065420560748,0.6144104297143916
1673.1591448931117,0.35514018691588783,0.4496001810683995
1669.3586698337292,0.4672897196261682,0.33041377334919086
1665.5581947743467,0.5607476635514018,0.25123252730156603
1661.7577197149644,0.6246105919003115,0.20439065544867097
1657.957244655582,0.6728971962616822,0.1720512812539412
1654.1567695961994,0.719626168224299,0.1428930525127278
1650.3562945368171,0.7554517133956387,0.1217932894665896
1646.5558194774346,0.7897196261682243,0.10252706873551728
1642.7553444180521,0.8208722741433022,0.08572441285630665
1638.9548693586698,0.8411214953271028,0.07514126824588478
1635.1543942992873,0.8551401869158879,0.06796268361876134
1631.353919239905,0.8629283489096573,0.06402526334042354
1627.5534441805225,0.8629283489096573,0.06402526334042354
1623.7529691211403,0.8504672897196262,0.07034238536411605
1619.9524940617578,0.82398753894081,0.0840793560336675
1616.1520190023753,0.8271028037383178,0.08244050698738419
1612.351543942993,0.82398753894081,0.0840793560336675
1608.5510688836105,0.7476635514018691,0.12629379069326607
1604.750593824228,0.6479750778816199,0.18844169744211056
1600.9501187648457,0.6417445482866043,0.1926378120357187
1597.1496437054632,0.7383177570093458,0.13175668639476823
1593.3491686460807,0.8208722741433022,0.08572441285630665
1589.5486935866984,0.7975077881619937,0.09826506709302253
1585.7482185273159,0.6588785046728972,0.18119466069381093
1581.9477434679334,0.6355140186915887,0.19687486497897336
1578.147268408551,0.7320872274143302,0.13543717013313583
1574.3467933491686,0.7897196261682243,0.10252706873551728
1570.546318289786,0.82398753894081,0.0840793560336675
1566.7458432304038,0.8426791277258567,0.07433776296228382
1562.9453681710213,0.8566978193146417,0.06717233857460944
1559.144893111639,0.8644859813084113,0.06324204494617701
1555.3444180522565,0.867601246105919,0.061679832895124354
1551.5439429928742,0.8722741433021807,0.059347001062652865
1547.7434679334917,0.8785046728971962,0.056255924085510986
1543.9429928741092,0.8847352024922118,0.05318669235783441
1540.142517814727,0.8894080996884736,0.0508989198230052
1536.3420427553444,0.8925233644859814,0.04938040610146328
1532.541567695962,0.8909657320872274,0.05013899927582908
1528.7410926365797,0.8894080996884736,0.0508989198230052
1524.9406175771971,0.8909657320872274,0.05013899927582908
1521.1401425178146,0.9003115264797508,0.04560718964832423
1517.3396674584324,0.9112149532710281,0.0403791619866728
1513.5391923990499,0.9174454828660437,0.03741973328175161
1509.7387173396673,0.9190031152647975,0.03668301642670909
1505.938242280285,0.9158878504672897,0.03815770199271479
1502.1377672209026,0.8956386292834891,0.047867183379222765
1498.33729216152,0.8333333333333334,0.0791812460476248
1494.5368171021378,0.8364485981308412,0.07756074236929765
1490.7363420427553,0.897196261682243,0.047112544645641234
