wavenumber_cm-1,experiment,reference,conformer1,conformer2,dimer
1197.0,0.03474696694402528,0.0010212308079319992,0.025783079437201404,0.003131958434865167,2.464443650629188e-06
1198.0,0.032994443467416854,0.0006975049650397878,0.01934770532792595,0.0023365104879555293,1.5144763500640285e-06
1199.0,0.03344726904529551,0.00046984276803606416,0.014318829543164067,0.0017196765313278444,9.178792622244349e-07
1200.0,0.03414448686667891,0.0003121325385098442,0.010451243176240767,0.0012486431218765857,5.48640758908928e-07
1201.0,0.03484170468806231,0.00020450613835369417,0.007523328372175314,0.000894394411953884,3.2342234318797545e-07
1202.0,0.03560999538270514,0.00013214602902264624,0.005341130070798739,0.0006319852403771844,1.88031843135587e-07
1203.0,0.03701963414795198,8.421357293324374e-05,0.0037397015340175825,0.00044051530416973903,1.0781326899072859e-07
1204.0,0.03842927291319882,5.292856040984101e-05,0.0025823854629590595,0.0003028875583157978,6.09666663313086e-08
1205.0,0.03983891167844568,3.280786233414509e-05,0.0017586738106901006,0.0002054278708349276,3.400103216583867e-08
1206.0,0.041362784900943916,2.0056056177533805e-05,0.0011812163519795702,0.00013743166316681037,1.8701272972790606e-08
1207.0,0.04315411181303871,1.2091851564284282e-05,0.0007824442412538517,9.068940502052271e-05,1.014447675773064e-08
1208.0,0.044945438725133485,7.189847502015651e-06,0.0005111602121730907,5.9028553950735066e-05,5.4270965557286324e-09
1209.0,0.04673676563722828,4.216247568746537e-06,0.0003293368338647333,3.789638271690795e-05,2.8634188232711632e-09
1210.0,0.04817870022588782,2.4384398351733673e-06,0.00020926815042784304,2.3997066947017724e-05,1.4899843886175955e-09
1211.0,0.04926957871814357,1.3908409633856996e-06,0.00013114311340980568,1.498782668313932e-05,7.646426342938617e-10
1212.0,0.05036045721039932,7.823883380920638e-07,8.105267204611725e-05,9.232834199480088e-06,3.8700576178613877e-10
1213.0,0.051451335702655074,4.340569498489681e-07,4.9404743994851393e-05,5.609749898909643e-06,1.9318323774139968e-10
1214.0,0.05190821628131307,2.37492827682182e-07,2.969951942029561e-05,3.361713148465475e-06,9.511949943476337e-11
1215.0,0.05209122701294082,1.2815445604706712e-07,1.760798378671564e-05,1.986934040730183e-06,4.6226797701641244e-11
1216.0,0.05227423774456856,6.820188009229794e-08,1.0295543235257454e-05,1.1582682885105772e-06,2.2244483988842502e-11
1217.0,0.05245724847619631,3.5796321401737455e-08,5.937017455024658e-06,6.659404346393685e-07,1.0765621761876334e-11
1218.0,0.05231162235958041,1.8529336291223544e-08,3.376500367222761e-06,3.7762441558617977e-07,5.6245359984113305e-12
1219.0,0.05212861162795265,9.459337865951447e-09,1.893846122822068e-06,2.111941667686292e-07,3.991938439428763e-12
1220.0,0.05194560089632489,4.762566133491941e-09,1.047615671107601e-06,1.1649361613215773e-07,5.012179637187766e-12
1221.0,0.05178041306255165,2.3648342496923857e-09,5.715295508986014e-07,6.33770334432871e-08,9.426605017952173e-12
1222.0,0.05178041306255165,1.1580832979216225e-09,3.0750685377638955e-07,3.4011468200174905e-08,2.0055274359435165e-11
1223.0,0.05178041306255165,5.593173529261775e-10,1.631737570452389e-07,1.8014495515888177e-08,4.3412863983501606e-11
1224.0,0.05178041306255165,2.6641347962580495e-10,8.539358165553592e-08,9.43978704230979e-09,9.327423274049929e-11
1225.0,0.05188919189057819,1.2515076749472717e-10,4.407370374415548e-08,4.9441370974569285e-09,1.9789755070142988e-10
1226.0,0.052255558983371565,5.798162059896107e-11,2.2434338496643167e-08,2.697831428850436e-09,4.141997771929615e-10
1227.0,0.05262192607616493,2.6492759572879928e-11,1.1262281802286593e-08,1.759167694809871e-09,8.55029870227566e-10
1228.0,0.052988293168958304,1.1938421960447558e-11,5.575950537500148e-09,1.743940953438468e-09,1.7407523860433219e-09
1229.0,0.0534468927485222,5.305981392521164e-12,2.7226438598151155e-09,2.699120753590235e-09,3.495211414530427e-09
1230.0,0.05399904872615003,2.3263506143740177e-12,1.311119156493046e-09,5.151936157010343e-09,6.921335662223808e-09
1231.0,0.05455120470377785,1.0073782488885878e-12,6.226914478016633e-10,1.0365813673695928e-08,1.3517183788606759e-08
1232.0,0.05510336068140567,4.337312203316388e-13,2.9166418501263915e-10,2.090959469828687e-08,2.6035284009562915e-08
1233.0,0.05643736533573251,1.9251329803360384e-13,1.3473271456391688e-10,4.1757758987825306e-08,4.9455908680304914e-08
1234.0,0.058112928456330454,1.0364025757707978e-13,6.13824754611559e-11,8.231792750603663e-08,9.265178589488845e-08
1235.0,0.05978849157692841,9.747162163233317e-14,2.7580759190409305e-11,1.6007376611927723e-07,1.7118634782905192e-07
1236.0,0.06146405469752635,1.6499676236686045e-13,1.2223887824550823e-11,3.0700527175309116e-07,3.119350396958967e-07
1237.0,0.06437229504798914,3.484351882873261e-13,5.34734012919402e-12,5.807050956015529e-07,5.605816568682797e-07
1238.0,0.06742440223695075,7.642714934535144e-13,2.3172457286554646e-12,1.0832929916007962e-06,9.935581103278005e-07
1239.0,0.07047650942591234,1.6692109978559792e-12,1.0146900165115138e-12,1.9930393998121688e-06,1.736710043933759e-06
1240.0,0.07355706865128943,3.6015988835398333e-12,4.949504222668134e-13,3.6163070389829363e-06,2.993925556064057e-06
1241.0,0.0769086335235245,7.666375568852777e-12,3.654274543892634e-13,6.471338653211727e-06,5.09019363090072e-06
1242.0,0.08026019839575957,1.609487083008748e-11,5.155112872769821e-13,1.1420953627975925e-05,8.53507261139058e-06
1243.0,0.08361176326799465,3.332487074798189e-11,1.0312235676361342e-12,1.9878793315964273e-05,1.4114312734873805e-05
1244.0,0.08693746089971484,6.805024095202774e-11,2.2356725890171847e-12,3.4123775820397676e-05,2.3019285481048548e-05
1245.0,0.09020120231826632,1.3704730581436337e-10,4.8686184018188754e-12,5.7770158276808405e-05,3.702572049019283e-05
1246.0,0.09346494373681784,2.722017426674815e-10,1.049130738479062e-11,9.645604599242105e-05,5.873470119043714e-05
1247.0,0.09672868515536935,5.332009089112525e-10,2.2309637965192262e-11,0.00015883082050978717,9.188943167760382e-05
1248.0,0.1002612388602557,1.0300788792216882e-09,4.6793052881666255e-11,0.00025794050126495637,0.0001417803078134508
1249.0,0.10406906668528311,1.962590807106809e-09,9.679614470718151e-11,0.00041312715916645405,0.00021574751570623314
1250.0,0.10787689451031052,3.6878120879853507e-09,1.974766549809337e-10,0.0006525704683210771,0.0003237838806939822
1251.0,0.11168472233533792,6.834199289701811e-09,3.9733177374081564e-10,0.0010166010836766867,0.00047923018967759506
1252.0,0.11528934556514159,1.249069014930186e-08,7.884433241424495e-10,0.0015619000179321444,0.0006995401293766023
1253.0,0.11880419690184976,2.251465560716133e-08,1.5430049571076349e-09,0.0023666576337268144,0.001007072206645715
1254.0,0.12231904823855794,4.0024363009017216e-08,2.9781314813900935e-09,0.003536691958202401,0.0014298421563023807
1255.0,0.1258338995752661,7.017202526699967e-08,5.668918136410871e-09,0.005212411421354061,0.002002142991261967
1256.0,0.1292594889807404,1.2133450531513948e-07,1.064232109478778e-08,0.007576347350982977,0.0027649137700739767
1257.0,0.13267439544231704,2.0691201249861387e-07,1.9703913255127824e-08,0.010860777421511102,0.0037657163167632486
1258.0,0.13608930190389365,3.479914540330506e-07,3.597896750349179e-08,0.015354721391477328,0.00505816652640716
1259.0,0.13971836514508545,5.772095125867447e-07,6.47925597580076e-08,0.021409333683243024,0.006700669103013082
1260.0,0.1454450665866116,9.442371456440236e-07,1.1507526889451908e-07,0.029440474072364997,0.008754327003900745
1261.0,0.15117176802813775,1.5233939693851583e-06,2.0156703388830434e-07,0.039927049806959165,0.011279943715686256
1262.0,0.15689846946966388,2.423974260044108e-06,3.4820735211995844e-07,0.05340364065312786,0.014334109609921857
1263.0,0.16454543741179367,3.8039057821637617e-06,5.932498455791273e-07,0.07044599709767418,0.017964461371502906
1264.0,0.17684475833912877,5.8873409910970815e-06,9.968252116151098e-07,0.09164829117488323,0.0222043198445675
1265.0,0.18914407926646382,8.986663840528244e-06,1.6518955604578228e-06,0.11759153410820469,0.027067035887292742
1266.0,0.20144340019379886,1.3529147537766328e-05,2.699783725714996e-06,0.1488033637144948,0.03254049099985446
1267.0,0.2163986943744144,2.0088084043559318e-05,4.351699962202313e-06,0.18571041885620493,0.03858229170730395
1268.0,0.23409977732895254,2.9417599674004653e-05,6.917886423263841e-06,0.22858568553958247,0.04511624538047319
1269.0,0.2518008602834907,4.2489568123343894e-05,1.0846099075932838e-05,0.2774944015531788,0.05203069403522783
1270.0,0.2695019432380288,6.053006092343663e-05,1.677106958357108e-05,0.3322431871893435,0.05917920075297298
1271.0,0.285196938488017,8.505170983882748e-05,2.557624111291283e-05,0.3923378489950423,0.0663839281214235
