wavenumber_cm-1,normalized_intensity
3890.295359,0.000000
3898.734177,0.000000
3907.172996,0.000000
3915.611814,0.000000
3924.050633,0.000000
3932.489451,0.000000
3940.928270,0.000000
3949.367089,0.000000
3957.805907,0.000000
3966.244726,0.000000
3974.683544,0.000000
3983.122363,0.000000
3991.561181,0.000000
