wavenumber_cm-1,实验：SDBS 粉末 Raman,"参考理论：ORCA B3LYP/6-31+G(d,p)",构型 1：Gaussian B3LYP/6-31G(d),构型 2：Gaussian B3LYP/6-31G(d),二聚体：Gaussian B3LYP/6-31G(d)
98.0,0.63141730,0.00135436,0.00120091,0.00136946,0.01518751
99.0,0.58773915,0.00089144,0.00077441,0.00088687,0.01531831
100.0,0.54406101,0.00057867,0.00049251,0.00056646,0.01546355
101.0,0.50038287,0.00037047,0.00030891,0.00035687,0.01555311
102.0,0.49204950,0.00023393,0.00019109,0.00022183,0.01553782
103.0,0.48567975,0.00014569,0.00011658,0.00013615,0.01538687
104.0,0.47931000,0.00008952,0.00007015,0.00008273,0.01508537
105.0,0.47294025,0.00005431,0.00004165,0.00005016,0.01463183
106.0,0.50478892,0.00003261,0.00002441,0.00003102,0.01403558
107.0,0.55028704,0.00001953,0.00001417,0.00002073,0.01331422
108.0,0.59578515,0.00001194,0.00000821,0.00001669,0.01249108
109.0,0.64128327,0.00000793,0.00000489,0.00001780,0.01159283
110.0,0.66618750,0.00000644,0.00000323,0.00002425,0.01064720
111.0,0.67255725,0.00000706,0.00000271,0.00003750,0.00968119
112.0,0.67892700,0.00000996,0.00000318,0.00006053,0.00871943
113.0,0.68529675,0.00001589,0.00000476,0.00009830,0.00778317
114.0,0.68793090,0.00002637,0.00000788,0.00015850,0.00688958
115.0,0.68247125,0.00004393,0.00001342,0.00025261,0.00605148
116.0,0.67701160,0.00007258,0.00002282,0.00039732,0.00527746
117.0,0.67155195,0.00011848,0.00003843,0.00061648,0.00457225
118.0,0.66455970,0.00019086,0.00006388,0.00094342,0.00393727
119.0,0.64454035,0.00030327,0.00010477,0.00142392,0.00337132
120.0,0.62452100,0.00047527,0.00016947,0.00211957,0.00287127
121.0,0.60450165,0.00073459,0.00027037,0.00311164,0.00243269
122.0,0.58448230,0.00111977,0.00042541,0.00450518,0.00205041
123.0,0.54736562,0.00168342,0.00066015,0.00643301,0.00171902
124.0,0.50823749,0.00249597,0.00101031,0.00905932,0.00143312
125.0,0.46910936,0.00364975,0.00152491,0.01258219,0.00118762
126.0,0.42998123,0.00526341,0.00226995,0.01723442,0.00097780
127.0,0.39583374,0.00748602,0.00333247,0.02328178,0.00079938
128.0,0.36398499,0.01050059,0.00482497,0.03101811,0.00064853
129.0,0.33213625,0.01452633,0.00688975,0.04075620,0.00052180
130.0,0.30028750,0.01981881,0.00970268,0.05281430,0.00041612
131.0,0.27490435,0.02666728,0.01347595,0.06749766,0.00032870
132.0,0.25670520,0.03538825,0.01845891,0.08507567,0.00025706
133.0,0.23850605,0.04631471,0.02493632,0.10575512,0.00019893
134.0,0.22030690,0.05978031,0.03322294,0.12965128,0.00015226
135.0,0.20306556,0.07609863,0.04365391,0.15675870,0.00011523
136.0,0.18850610,0.09553772,0.05657020,0.18692434,0.00008622
137.0,0.17394663,0.11829117,0.07229888,0.21982622,0.00006379
138.0,0.15938717,0.14444721,0.09112864,0.25496027,0.00004671
139.0,0.14525875,0.17395840,0.11328113,0.29163856,0.00003396
140.0,0.13888900,0.20661462,0.13887998,0.32900066,0.00002469
141.0,0.13251925,0.24202270,0.16791951,0.36603953,0.00001826
142.0,0.12614950,0.27959573,0.20023595,0.40164153,0.00001426
143.0,0.11977975,0.31855497,0.23548451,0.43463895,0.00001248
144.0,0.11417620,0.35794610,0.27312536,0.46387190,0.00001302
145.0,0.10871631,0.39667084,0.31242165,0.48825522,0.00001628
146.0,0.10325643,0.43353316,0.35245171,0.50684495,0.00002313
147.0,0.09779654,0.46729783,0.39213672,0.51889890,0.00003505
148.0,0.09348625,0.49675770,0.43028361,0.52392578,0.00005431
149.0,0.08984656,0.52080465,0.46564130,0.52171845,0.00008428
150.0,0.08620687,0.53849851,0.49696704,0.51236803,0.00012983
151.0,0.08256719,0.54912795,0.52309803,0.49625769,0.00019774
152.0,0.07892740,0.55225797,0.54302269,0.47403660,0.00029735
153.0,0.07528747,0.54775940,0.55594557,0.44657654,0.00044116
154.0,0.07164755,0.53581774,0.56133997,0.41491518,0.00064563
155.0,0.06800763,0.51692047,0.55898359,0.38019128,0.00093192
156.0,0.06475085,0.49182407,0.54897372,0.34357724,0.00132667
157.0,0.06293089,0.46150374,0.53172055,0.30621468,0.00186265
158.0,0.06111093,0.42709066,0.50791933,0.26915784,0.00257917
159.0,0.05929096,0.38980223,0.47850385,0.23332833,0.00352217
160.0,0.05747100,0.35087140,0.44458574,0.19948364,0.00474372
161.0,0.05565104,0.31148061,0.40738499,0.16820021,0.00630099
162.0,0.05383107,0.27270523,0.36815773,0.13987019,0.00825424
163.0,0.05201111,0.23546986,0.32812719,0.11471051,0.01066412
164.0,0.05019115,0.20051949,0.28842303,0.09278134,0.01358790
165.0,0.04837137,0.16840589,0.25003284,0.07401122,0.01707494
166.0,0.04655165,0.13948819,0.21376845,0.05822560,0.02116145
167.0,0.04473193,0.11394548,0.18024765,0.04517623,0.02586492
168.0,0.04291220,0.09179867,0.14989086,0.03456893,0.03117857
169.0,0.04109234,0.07293831,0.12293069,0.02608811,0.03706641
170.0,0.03927238,0.05715517,0.09943183,0.01941697,0.04345946
171.0,0.03745241,0.04417103,0.07931788,0.01425300,0.05025365
172.0,0.03563245,0.03366702,0.06240199,0.01031873,0.05730997
173.0,0.03481821,0.02530836,0.04841836,0.00736821,0.06445731
174.0,0.03572808,0.01876424,0.03705197,0.00518992,0.07149795
175.0,0.03663794,0.01372267,0.02796490,0.00360690,0.07821579
176.0,0.03754780,0.00990056,0.02081800,0.00247480,0.08438682
177.0,0.03860136,0.00704945,0.01528751,0.00167869,0.08979130
178.0,0.04042133,0.00495761,0.01107663,0.00112926,0.09422654
179.0,0.04224129,0.00344961,0.00792249,0.00075869,0.09751955
180.0,0.04406125,0.00238381,0.00559932,0.00051688,0.09953813
181.0,0.04588121,0.00164888,0.00391858,0.00036787,0.10019977
182.0,0.05114952,0.00115965,0.00272692,0.00028689,0.09947715
183.0,0.05660941,0.00085291,0.00190281,0.00025783,0.09740008
184.0,0.06206930,0.00068345,0.00135231,0.00027134,0.09405345
185.0,0.06752919,0.00062053,0.00100476,0.00032324,0.08957144
186.0,0.07969385,0.00064471,0.00080847,0.00041333,0.08412862
187.0,0.09425308,0.00074531,0.00072682,0.00054456,0.07792869
188.0,0.10881230,0.00091823,0.00073480,0.00072220,0.07119187
189.0,0.12337153,0.00116408,0.00081605,0.00095330,0.06414205
190.0,0.13745188,0.00148664,0.00096040,0.00124599,0.05699472
191.0,0.15110124,0.00189145,0.00116180,0.00160892,0.04994659
192.0,0.16475060,0.00238457,0.00141662,0.00205050,0.04316746
193.0,0.17839996,0.00297129,0.00172229,0.00257813,0.03679480
194.0,0.18687695,0.00365503,0.00207620,0.00319733,0.03093114
195.0,0.18414713,0.00443623,0.00247479,0.00391090,0.02564394
196.0,0.18141730,0.00531136,0.00291293,0.00471798,0.02096780
197.0,0.17868748,0.00627218,0.00338347,0.00561333,0.01690832
198.0,0.17452088,0.00730516,0.00387702,0.00658667,0.01344707
199.0,0.15814169,0.00839128,0.00438201,0.00762239,0.01054712
200.0,0.14176250,0.00950628,0.00488492,0.00869955,0.00815868
201.0,0.12538331,0.01062121,0.00537073,0.00979223,0.00622422
202.0,0.10900412,0.01170354,0.00582366,0.01087041,0.00468306
203.0,0.09588150,0.01271864,0.00622789,0.01190118,0.00347499
204.0,0.08314200,0.01363150,0.00656851,0.01285030,0.00254306
205.0,0.07040250,0.01440873,0.00683239,0.01368409,0.00183544
206.0,0.05766299,0.01502061,0.00700904,0.01437136,0.00130648
207.0,0.04990429,0.01544290,0.00709127,0.01488536,0.00091716
208.0,0.04444440,0.01565847,0.00707569,0.01520549,0.00063500
209.0,0.03898451,0.01565847,0.00696295,0.01531865,0.00043360
210.0,0.03352463,0.01544290,0.00675766,0.01522020,0.00029201
211.0,0.03022001,0.01502061,0.00646814,0.01491418,0.00019398
