mode,scaled_cm-1,IR_km_mol-1,Raman_activity,C8_O13,C18_O16,O15_H14,O19_H20
31,787.2690357700001,25.5541,0.0,0.04952745342431409,-0.04951454838119652,-0.006970091806634502,0.006946625042443548
32,787.44062782,11.0405,0.0,-7.374818604007893e-05,-3.110099956552977e-05,0.0008088776783419355,-0.0008458756271274298
33,835.6506879899999,0.0276,0.0039,0.0,0.0,2.5882811476223186e-07,-4.4698437851477055e-06
34,835.71144215,0.0,9.8655,0.0,0.0,5.176562295244637e-07,8.939687570295411e-06
35,880.61655292,0.0003,0.3063,6.412885742615559e-06,-2.7044347448286753e-06,1.9153280492405155e-05,0.0003352382838860779
36,922.7511970900001,4.2178,0.0,-1.60322143565389e-05,-6.761086862071689e-06,-5.435390410006868e-06,9.386671948810181e-05
37,922.9536468700001,0.0,4.5032,-1.2825771485231119e-05,5.408869489657351e-06,-5.176562295244637e-07,-8.939687570295411e-06
38,927.81628679,225.319,0.0,-1.60322143565389e-05,-6.761086862071689e-06,-1.8635624262880694e-05,0.00032182875253063483
39,948.22420514,0.0001,0.0271,0.0,0.0,2.5882811476223186e-07,4.4698437851477055e-06
40,948.30168592,1.7554,0.0,0.0,0.0,-1.5529686885733908e-06,2.6819062710886233e-05
41,971.33155002,0.0,1.2013,-3.2064428713077797e-06,1.3522173724143377e-06,-2.5882811476223186e-07,-4.4698437851477055e-06
42,971.34510435,0.229,0.0002,-3.2064428713077797e-06,-1.3522173724143377e-06,0.0,0.0
43,980.43458037,3.1295,0.0002,-0.013769801707258646,0.01377003435879592,0.0,0.0
44,980.63741467,0.0,58.4578,-0.013769801707258646,-0.01377003435879592,-0.0008065482253090755,-0.0008056470330611005
45,1013.5362729599999,15.8777,0.0,-0.005273027690177475,0.005273639655305902,0.0,0.0
46,1013.8444657399999,0.0,26.5368,0.005273027690177475,0.005273639655305902,0.0,0.0
47,1067.50644273,0.0005,0.2347,0.0032237463269036972,0.003222755048184117,-0.002419644675927226,-0.002416941099183301
48,1067.57969379,16.5074,0.0,-0.0032237463269036972,0.003222755048184117,0.002419644675927226,-0.001611294066122201
49,1112.53142761,9.7657,0.0,-0.0665000786090334,0.06650643091185494,-0.005645837577163529,0.005639529231427703
50,1116.0010477,0.0,17.9124,-0.06122705091885593,-0.06123279125654905,0.004321583347692546,0.004327963576626701
51,1148.5947893700002,0.6903,0.0168,0.0,0.0,0.0,0.0
52,1148.60747853,0.0007,16.684,0.0,0.0,0.0,0.0
53,1162.37790877,55.5603,0.0,0.01054605538035495,-0.010547279310611803,-0.006741228023619778,0.006744904675810008
54,1163.39169575,0.0,8.4745,0.01054605538035495,0.010547279310611803,-0.005934679798310703,-0.005939257642748907
55,1274.41521278,0.0086,126.2137,-0.03338779894035257,-0.03339986626395432,0.019765956504829894,0.019822333606592656
56,1278.7847058000002,561.1351,0.0017,0.04305903792106365,-0.04306813140850667,0.010136306269738354,-0.010080144817570587
57,1304.78383334,0.0011,30.0696,0.025190673487257453,0.025196327835467176,-0.011351653592459501,-0.011372596663757919
58,1306.37834165,242.9874,0.0003,-0.0389604751945161,0.038966362194263096,-0.004261604909560103,0.004234425375724191
59,1316.0952581800002,0.0005,5.3292,0.0210921107607099,0.021094558621223607,-0.0010953904464562503,-0.0011053754443823057
60,1316.35509757,22.1176,0.0002,-0.03486191246796855,0.03486459298001953,0.0054169737941488025,-0.005433339021009013
61,1415.94548918,259.2559,0.0,0.04190870224974806,-0.04189581562639352,0.030877696344759585,-0.030820777466740504
62,1436.65727446,0.0,17.1509,0.08496774017081171,0.08496394703490019,0.027422639660508567,0.026586352091016317
63,1440.3685653700002,66.1879,0.0,0.028414419814161148,-0.028419082883651296,-0.006452385802472604,0.006445176264488804
64,1452.65676714,0.0,23.1339,0.10226093676896011,0.1022495927168831,0.056747217992782456,0.05669502072559823
65,1484.7458263100002,17.7397,0.0001,-0.007621957617437315,0.007617380537430565,-0.006452385802472604,0.006445176264488804
66,1484.91761062,0.0044,0.5363,-0.06065188308319812,-0.06064663336549247,-0.03283961345465737,-0.032825338145086425
67,1577.41120498,37.5307,0.0001,0.11015841365806917,-0.11016027487036736,-0.014806710276710534,0.014801375006421012
68,1578.0434519900002,0.0003,10.1596,0.09843789331408428,0.09844112511869323,0.008643166695385103,0.008655927153253412
69,1598.50674122,54.3046,0.072,-0.01581908307053242,0.007324524262427684,0.002419644675927226,-0.002416941099183301
